date,year,month,quarter,months_from_start,rolling_mean_ev,ev_growth_rate,ev_penetration,ev_penetration_log,national_market_share,state_rank,growth_stage,market_concentration,region,regional_avg_penetration,state_to_region_ratio,regional_rank,market_maturity_score,adoption_velocity,adoption_velocity_capped,segment_penetration_2-wheelers,segment_penetration_4-wheelers,segment_preference_ratio,segment_preference_ratio_capped,segment_preference_ratio_log,dominant_segment,segment_growth_diff,ev_sales_growth_rank_state,ev_sales_growth_rank_region,is_early_adopter,months_since_peak,is_at_peak,is_missing_ev_growth_rate,is_missing_segment_preference_ratio,is_missing_segment_growth_diff,is_missing_regional_avg_penetration,is_missing_adoption_velocity,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,ev_penetration_rate
2021-04-01,2021,4,2,3,75.0,0.0,0.4,0.3364722366212129,1.19,4.0,Developing,0.5681818181818182,West,0.6475,0.62,4.0,15.5,0.0,0.0,1.2,0.4,3.0,3.0,1.3862943611198906,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Tamil Nadu,4-Wheelers,75,18826,0.0039838521194093274
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,24.0,Early,0.0,Central,0.0920833333333333,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Tripura,2-Wheelers,0,2906,0.0
2021-04-01,2021,4,2,3,0.0,0.0,0.0,0.0,0.0,18.0,Early,0.0,Central,0.0920833333333333,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Tripura,4-Wheelers,0,289,0.0
2021-04-01,2021,4,2,3,171.0,0.0,0.12,0.1133286853070031,2.71,9.0,Developing,0.1103938024531956,Central,0.0920833333333333,1.3,2.0,17.91,0.0,0.0,0.12,0.02,6.0,6.0,1.9459101490553128,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Uttar Pradesh,2-Wheelers,171,137840,0.0012405687753917587
2021-04-01,2021,4,2,3,4.0,0.0,0.02,0.0198026272961797,0.06,14.0,Early,0.0303030303030303,Central,0.0920833333333333,0.22,2.0,2.99,0.0,0.0,0.12,0.02,6.0,6.0,1.9459101490553128,2-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,Uttar Pradesh,4-Wheelers,4,23056,0.00017349063150589867
2021-04-01,2021,4,2,3,34.0,0.0,0.45,0.371563556432483,0.54,16.0,Developing,0.0219496449322143,North,0.319375,1.41,3.0,23.56,0.0,0.0,0.45,0.37,1.22,1.22,0.7975071958841881,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Uttarakhand,2-Wheelers,34,7607,0.004469567503615091
2021-04-01,2021,4,2,3,10.0,0.0,0.37,0.3148107398400335,0.16,10.0,Developing,0.0757575757575757,North,0.319375,1.16,2.0,19.37,0.0,0.0,0.45,0.37,1.22,1.22,0.7975071958841881,2-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,Uttarakhand,4-Wheelers,10,2728,0.0036656891495601175
2021-04-01,2021,4,2,3,9.0,0.0,0.01,0.009950330853168,0.14,19.0,Early,0.0058102001291155,South,0.767,0.01,4.0,0.19,0.0,0.0,0.01,0.31,0.03,0.03,0.0295588022415444,4-Wheelers,0.0,1.0,1.0,1,1.0,0,0,0,0,0,0,West Bengal,2-Wheelers,9,65885,0.00013660165439781437
2021-04-01,2021,4,2,3,24.0,0.0,0.31,0.2700271372130601,0.38,8.0,Developing,0.1818181818181818,South,0.767,0.4,2.0,5.78,0.0,0.0,0.01,0.31,0.03,0.03,0.0295588022415444,4-Wheelers,0.0,1.0,1.0,0,1.0,0,0,0,0,0,0,West Bengal,4-Wheelers,24,7640,0.0031413612565445027
2021-05-01,2021,5,2,4,0.0,0.0,0.0,0.0,0.0,20.0,Early,0.0,South,0.151,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,4.0,1.0,1,2.0,0,0,0,0,0,0,Andaman and Nicobar Islands,2-Wheelers,0,4,0.0
2021-05-01,2021,5,2,4,4.5,-1.0,0.0,0.0,0.0,12.0,Early,0.0,South,0.151,0.0,3.0,0.0,-5.36,-4.791027396125339,0.0,0.0,0.0,0.0,0.0,4-Wheelers,0.0,13.0,4.0,1,0.0,0,0,0,0,0,0,Andaman and Nicobar Islands,4-Wheelers,0,1,0.0
