date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,ev_penetration,year,month,month_name,conventional_vehicles_sold,quarter
2021-07-01,Jammu and Kashmir,2-Wheelers,203,10104,2.01,2021,7,Jul,9901,3
2021-07-01,Jammu and Kashmir,4-Wheelers,1,5336,0.02,2021,7,Jul,5335,3
2021-07-01,Jharkhand,2-Wheelers,108,29512,0.37,2021,7,Jul,29404,3
2021-07-01,Jharkhand,4-Wheelers,4,5020,0.08,2021,7,Jul,5016,3
2021-07-01,Karnataka,2-Wheelers,3384,84001,4.03,2021,7,Jul,80617,3
2021-07-01,Karnataka,4-Wheelers,196,21640,0.91,2021,7,Jul,21444,3
2021-07-01,Kerala,2-Wheelers,456,41455,1.1,2021,7,Jul,40999,3
2021-07-01,Kerala,4-Wheelers,139,18406,0.76,2021,7,Jul,18267,3
2021-07-01,Ladakh,2-Wheelers,0,51,0.0,2021,7,Jul,51,3
2021-07-01,Ladakh,4-Wheelers,0,552,0.0,2021,7,Jul,552,3
2021-07-01,Madhya Pradesh,2-Wheelers,469,99094,0.47,2021,7,Jul,98625,3
2021-07-01,Madhya Pradesh,4-Wheelers,17,14581,0.12,2021,7,Jul,14564,3
2021-07-01,Maharashtra,2-Wheelers,2101,146083,1.44,2021,7,Jul,143982,3
2021-07-01,Maharashtra,4-Wheelers,286,38063,0.75,2021,7,Jul,37777,3
2021-07-01,Manipur,2-Wheelers,0,474,0.0,2021,7,Jul,474,3
2021-07-01,Manipur,4-Wheelers,0,68,0.0,2021,7,Jul,68,3
2021-07-01,Meghalaya,2-Wheelers,0,726,0.0,2021,7,Jul,726,3
2021-07-01,Meghalaya,4-Wheelers,1,759,0.13,2021,7,Jul,758,3
2021-07-01,Mizoram,2-Wheelers,0,1096,0.0,2021,7,Jul,1096,3
2021-07-01,Mizoram,4-Wheelers,0,219,0.0,2021,7,Jul,219,3
2021-07-01,Nagaland,2-Wheelers,0,583,0.0,2021,7,Jul,583,3
2021-07-01,Nagaland,4-Wheelers,0,1039,0.0,2021,7,Jul,1039,3
2021-07-01,Odisha,2-Wheelers,324,38080,0.85,2021,7,Jul,37756,3
2021-07-01,Odisha,4-Wheelers,3,5552,0.05,2021,7,Jul,5549,3
2021-07-01,Puducherry,2-Wheelers,38,3592,1.06,2021,7,Jul,3554,3
2021-07-01,Puducherry,4-Wheelers,0,866,0.0,2021,7,Jul,866,3
2021-07-01,Punjab,2-Wheelers,318,27261,1.17,2021,7,Jul,26943,3
2021-07-01,Punjab,4-Wheelers,3,9328,0.03,2021,7,Jul,9325,3
2021-07-01,Rajasthan,2-Wheelers,1378,67308,2.05,2021,7,Jul,65930,3
2021-07-01,Rajasthan,4-Wheelers,52,14374,0.36,2021,7,Jul,14322,3
