date,year,month,maker,vehicle_category,electric_vehicles_sold,cumulative_sales,maker_rank,market_position,leader_gap_pct,performance_vs_avg,market_share_fraction,hhi_index,market_concentration,effective_competitors,market_share_tier,share_change_status,dual_segment_presence,primary_segment,primary_segment_contribution,segment_specialization
2022-02-01,2022,February,PCA Automobiles,4-Wheelers,0,0,7.0,Top 10,100.0,-1.0,0.0,0.654197069795073,Highly Concentrated,1.5,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-02-01,2022,February,BMW India,4-Wheelers,0,0,7.0,Top 10,100.0,-1.0,0.0,0.654197069795073,Highly Concentrated,1.5,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-02-01,2022,February,Volvo Auto India,4-Wheelers,0,0,7.0,Top 10,100.0,-1.0,0.0,0.654197069795073,Highly Concentrated,1.5,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-02-01,2022,February,KIA Motors,4-Wheelers,0,0,7.0,Top 10,100.0,-1.0,0.0,0.654197069795073,Highly Concentrated,1.5,<5%,Stable,0,4-Wheelers,1.0,1.0
2023-02-01,2023,February,PCA Automobiles,4-Wheelers,0,0,10.0,Top 10,100.0,-1.0,0.0,0.4188683622864766,Highly Concentrated,2.4,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-03-01,2022,March,PCA Automobiles,4-Wheelers,0,0,8.0,Top 10,100.0,-1.0,0.0,0.6436804832928661,Highly Concentrated,1.6,<5%,Stable,0,4-Wheelers,1.0,1.0
2022-03-01,2022,March,KIA Motors,4-Wheelers,0,0,8.0,Top 10,100.0,-1.0,0.0,0.6436804832928661,Highly Concentrated,1.6,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-04-01,2021,April,Tata Motors,4-Wheelers,322,322,1.0,Market Leader,0.0,4.14,0.5143769968051118,0.3751237636395186,Highly Concentrated,2.7,>30%,Stable,0,4-Wheelers,1.0,1.0
2021-04-01,2021,April,MG Motor,4-Wheelers,118,118,3.0,Top 3,63.35,0.88,0.1884984025559105,0.3751237636395186,Highly Concentrated,2.7,10-20%,Stable,0,4-Wheelers,1.0,1.0
2021-04-01,2021,April,Mahindra and Mahindra,4-Wheelers,171,171,2.0,Top 3,46.89,1.73,0.2731629392971246,0.3751237636395186,Highly Concentrated,2.7,20-30%,Stable,0,4-Wheelers,1.0,1.0
2021-04-01,2021,April,Hyundai Motor,4-Wheelers,12,12,4.0,Top 5,96.27,-0.81,0.0191693290734824,0.3751237636395186,Highly Concentrated,2.7,<5%,Stable,0,4-Wheelers,1.0,1.0
2021-04-01,2021,April,Mercedes-Benz AG,4-Wheelers,3,3,5.0,Top 5,99.07,-0.95,0.0047923322683706,0.3751237636395186,Highly Concentrated,2.7,<5%,Stable,0,4-Wheelers,1.0,1.0
